line,Chainage,Elevation
MB03,0,1.283
MB03,0.101425532,1.2874
MB03,2.184216507,1.222
MB03,2.941205318,1.1684
MB03,4.332657675,1.3247
MB03,4.955675949,1.3759
MB03,5.403339043,1.3566
MB03,8.071860813,1.2705
MB03,9.084344226,1.4206
MB03,9.28373935,1.4338
MB03,10.3554438,1.4375
MB03,11.19791458,1.3947
MB03,13.15565229,1.264
MB03,13.25893729,1.278
MB03,14.15434075,1.2634
MB03,14.95168442,1.2785
MB03,15.28300756,1.2606
MB03,17.36874192,1.2442
MB03,18.08706943,1.3336
MB03,18.8089984,1.3992
MB03,20.24942116,1.386
MB03,21.96121668,1.2409
MB03,22.6525853,1.2118
MB03,23.03055839,1.2292
MB03,24.51051906,1.3528
MB03,25.3583515,1.2871
MB03,27.64179986,1.2364
MB03,27.70734495,1.2328
MB03,28.75032609,1.0689
MB03,28.98890681,1.07
MB03,31.39736293,1.107
MB03,31.61467528,1.0714
MB03,31.84652557,1.092
MB03,32.10895234,1.0819
MB03,33.81054694,0.9351
MB03,36.09441425,0.9503
MB03,36.48160722,0.9118
MB03,36.9830131,0.9451
MB03,38.29382242,0.8951
MB03,39.3264584,0.8658
MB03,40.88848837,0.8402
MB03,41.26855776,0.7957
MB03,42.3159906,0.9275
MB03,43.17788803,0.9755
MB03,44.76175494,1.004
MB03,46.30891841,0.9867
MB03,47.14074008,1.035
MB03,49.37967396,1.0651
MB03,50.46705446,0.9929
MB03,51.18797072,0.9083
MB03,51.99269084,0.9396
MB03,52.92353639,0.9242
MB03,56.35920432,0.8848
MB03,57.02198868,0.824
MB03,58.02724799,0.8734
MB03,60.78571915,0.7972
MB03,61.44114076,0.8067
MB03,62.08616146,0.9109
MB03,64.19519535,0.8911
MB03,64.83186088,0.8869
MB03,66.31883872,1.0067
MB03,66.68714149,1.0478
MB03,67.12275466,1.0664
MB03,68.70065343,1.2024
MB03,70.67860944,1.3532
MB03,71.67959455,1.6531
MB03,73.81878586,2.0916
MB03,74.4497163,2.224
MB03,74.7914915,2.3162
MB03,75.0139536,2.375
MB03,75.28012122,2.4385
MB03,76.55462558,2.802
MB03,77.66808807,2.938
MB03,79.53134764,3.0262
MB03,80.40594888,2.9313
MB03,81.24085366,2.5687
MB03,82.69655811,1.9068
MB03,83.49441859,1.7665
MB03,84.07178607,1.5967
MB03,84.83597219,1.2807
MB03,86.8859901,0.9512
MB03,87.74789646,0.7674
MB03,88.29959827,0.7011
MB03,88.81029371,0.7599
MB03,90.1272352,0.6517
MB03,91.10871948,0.6902
MB03,93.75650613,0.6541
MB03,95.26307175,0.6237
MB03,96.44641117,0.5536
MB03,98.23403573,0.5965
MB03,98.69413461,0.5563
MB03,99.11582317,0.4313
MB03,100.2366521,0.4304
MB03,100.5349335,0.4431
MB03,101.968044,0.0118
MB03,102.7813313,-0.043
MB03,106.5213418,-0.1128
MB03,107.9632279,0.0099
MB03,111.082658,0.0092
MB03,136.4348036,-0.0188
MB03,137.8781742,0.0418
MB03,138.4186854,0.0262
MB03,182.8958234,0.0135
MB03,189.2583444,0.0397
MB03,201.6372022,-0.015
MB03,206.0752009,-0.014
MB03,210.6952616,0.0625
MB03,223.6718963,0.12
MB03,229.1440303,0.0677
MB03,248.3290406,0.1036
MB03,250.5357349,0.1197
MB03,257.6366833,0.1793
MB03,275.1785457,0.1007
MB03,275.7595226,0.0812
MB03,287.1876459,0.084
MB03,287.4957677,0.2115
MB03,293.4998447,0.2489
MB03,293.6445126,0.2449
MB03,293.7484977,0.2444
MB03,296.2341994,0.1654
MB03,297.8699895,0.7072
MB03,299.0169377,0.9618
MB03,300.3901709,1.0486
MB03,301.8422544,0.9087
MB03,302.7936611,0.8412
MB03,303.0930541,0.8362
MB03,304.0249236,0.8551
MB03,307.2302447,0.824
MB03,308.9641654,0.8012
MB03,311.9063572,0.8801
MB03,313.6863802,0.8329
MB03,315.8760941,0.7197
MB03,316.6920282,0.7474
MB03,316.8239483,0.7398
MB03,317.9200128,0.6978
MB03,321.1530359,0.8872
MB03,321.3265947,0.8994
MB03,321.5960092,0.8611
MB03,322.5761687,0.7517
MB03,325.2332088,0.8909
MB03,327.3520567,0.7521
MB03,327.5064966,0.7396
MB03,327.5848644,0.7392
MB03,330.318575,0.7849
MB03,330.7437425,0.7738
MB03,331.5775779,0.7762
MB03,333.1812035,0.7777
MB03,333.563803,0.7816
MB03,333.9483585,0.7602
MB03,336.7845011,0.7472
MB03,337.384344,0.787
MB03,339.3193982,0.8187
MB03,341.14202,0.8726
MB03,341.4588729,0.8653
MB03,342.7321429,0.7463
MB03,344.3234869,0.8817
MB03,344.4544013,0.8764
MB03,345.4686935,0.8164
MB03,346.0793213,0.7491
MB03,346.5191643,0.778
MB03,346.7414668,0.7883
MB03,347.6587302,0.7509
MB03,351.3174704,0.7413
MB03,355.5832192,0.9144
MB03,356.2804021,0.9117
MB03,357.0770804,0.926
MB03,358.252081,0.9815
MB03,360.5866049,1.0173
MB03,361.5448244,0.9426
MB03,362.5781555,0.8273
MB03,363.7208722,0.8429
MB03,366.8309978,0.8649
MB03,366.9525382,0.8668
MB03,367.4408813,0.8605
MB03,369.3640383,0.8224
MB03,369.8606727,0.8361
MB03,371.845527,0.612
MB03,373.3406598,0.4479
MB03,373.4846577,0.4331
MB03,374.504016,0.5653
MB03,376.1436768,0.7009
MB03,377.6096882,0.9853
MB03,378.2191958,1.0093
MB03,378.9915891,1.0842
MB03,382.6458673,1.2402
MB03,384.6095747,1.2531
MB03,386.7892219,1.264
MB03,390.0438174,1.4233
MB03,390.8977267,1.4472
MB03,392.7467863,1.3783
MB03,394.3694921,1.3573
MB03,396.1391001,1.4954
MB03,397.2328435,1.4648
MB03,399.0196749,1.3815
MB03,400.0908017,1.5348
MB03,401.3866361,1.7025
MB03,401.5736926,1.7008
MB03,404.5407619,1.2861
MB03,404.6511527,1.264
MB03,406.4083346,0.7994
MB03,406.7898625,0.666
MB03,407.189497,0.6668
MB03,409.0267307,1.1343
MB03,409.4498797,1.2134
MB03,410.9163646,2.5752
MB03,411.7464077,2.6403
MB03,412.703661,2.7514
MB03,415.3992925,2.9956
MB03,415.8612467,2.9657
MB03,417.4110951,3.1634
MB03,418.4271028,3.1857
MB03,420.2776536,3.4909
MB03,420.381211,3.502
MB03,421.1345917,3.5557
MB03,423.5092827,3.7988
MB03,423.8384615,3.7802
MB03,427.0632665,3.9182
MB03,429.7050074,3.7917
MB03,431.0832823,3.7286
MB03,433.2320624,3.8594
MB03,434.3400541,3.9606
MB03,434.5696315,4.0127
MB03,438.1320602,4.5186
MB03,438.208066,4.5172
MB03,439.5819812,4.3187
MB03,440.9826999,4.4142
MB03,443.710931,4.4097
MB03,444.290281,4.4264
MB03,444.9562247,4.6157
MB03,446.1861069,4.944
MB03,447.2733131,5.0623
MB03,449.2477725,5.3105
MB03,450.1298866,5.4396
MB03,452.2529798,5.8903
MB03,452.9089316,6.0873
MB03,453.4131447,6.2473
MB03,454.4809233,6.4858
MB03,456.1644803,6.7283
MB03,456.2832158,6.707
MB03,456.5479863,6.7067
MB03,458.0106116,6.5986
MB03,459.494124,6.8676
MB03,459.759614,6.863
MB03,460.0296198,6.8924
MB03,460.7890405,6.9437
MB03,462.2110794,6.993
MB03,462.9025124,6.9901
MB03,463.8818945,6.6859
MB03,464.5056243,6.4857
MB03,467.9568913,3.5985
MB03,468.171391,3.4436
MB03,468.4640676,3.3688
MB03,469.9858988,2.7688
MB03,471.1697695,2.4301
MB03,471.72391,2.1707
MB03,473.2953068,2.0113
MB03,474.6544658,1.8965
MB03,476.1694703,1.9284
MB03,477.1379994,1.9913
MB03,479.4361388,2.0395
MB03,480.7655225,1.9596
MB03,482.5830288,2.0157
MB03,483.4687351,1.9762
MB03,485.3386863,2.0554
MB03,485.813105,2.1225
MB03,487.4085405,2.1975
MB03,489.6651776,2.1665
MB03,491.4299036,2.2142
MB03,491.4914987,2.2218
MB03,491.9682773,2.2768
MB03,493.5443427,2.4554
MB03,493.8300066,2.4783
MB03,495.6450968,2.4415
MB03,496.495619,2.4211
MB03,500.8100059,2.5497
MB03,500.8795477,2.5557
MB03,500.9037686,2.5566
MB03,500.9175347,2.5569
MB03,501.0568944,2.5605
MB03,504.7033437,2.863
MB03,505.2724394,2.8937
MB03,507.7577268,2.8586
MB03,509.1054262,3.0118
MB03,510.821854,3.1002
MB03,512.4001787,3.6129
MB03,512.7884424,3.6892
MB03,515.4540661,3.5244
MB03,516.2921082,3.4337
MB03,517.3393885,3.5337
MB03,518.505997,3.6375
MB03,519.8449323,3.8468
MB03,520.3741835,3.9253
MB03,520.7415605,3.9112
MB03,524.0420374,4.0714
MB03,524.0686883,4.0702
MB03,524.8773655,3.9902
MB03,527.9532636,4.0875
MB03,528.2468708,4.0731
MB03,528.3850293,4.0875
MB03,528.6439746,4.0899
MB03,528.9580883,4.1384
MB03,531.2822425,4.3723
MB03,533.4652221,4.3789
MB03,533.983747,4.3964
MB03,535.4411948,4.4647
MB03,538.7331782,4.6639
MB03,541.7608882,4.6985
MB03,542.7535799,4.7375
MB03,543.862286,4.8811
MB03,544.7732925,4.8045
MB03,545.3259718,4.7868
MB03,545.5217323,4.7565
MB03,548.7522058,4.8885
MB03,549.7403181,4.9691
MB03,550.8924062,4.9619
MB03,552.1808182,4.984
MB03,553.1587559,5.0254
MB03,554.5257645,4.9448
MB03,555.2587379,4.879
MB03,556.3087637,4.7375
MB03,557.4258626,4.717
MB03,559.5936876,4.6891
MB03,559.8935405,4.7235
MB03,560.3391219,4.7246
MB03,563.6038891,4.8369
MB03,565.6731613,4.8065
MB03,565.9509129,4.804
MB03,566.4745084,4.8189
MB03,569.236546,4.9717
MB03,569.8276014,5.0271
MB03,570.5734753,4.9773
MB03,573.9548658,5.0284
MB03,575.1946754,5.0996
MB03,576.010549,4.9625
MB03,576.9145764,4.7727
MB03,579.8581889,4.1084
MB03,583.0001757,3.4084
MB03,583.178404,3.3634
MB03,583.6239746,3.3483
MB03,585.346298,3.0506
MB03,586.0099653,2.938
MB03,587.3760237,2.7898
MB03,588.4043147,2.6233
MB03,589.4756975,2.4419
MB03,591.7100795,2.1589
MB03,593.4710107,1.969
MB03,594.7497253,1.694
MB03,596.9469296,1.4126
MB03,597.9449864,1.3116
MB03,599.0595024,1.2009
MB03,601.2563848,0.8355
MB03,601.880129,0.8699
MB03,602.2278013,0.8318
MB03,605.4518049,0.3978
MB03,606.1225526,0.3654
MB03,607.2154717,0.2304
MB03,610.5293233,-0.1143
MB03,612.4611346,-0.09
MB03,613.4367854,-0.0741
MB03,614.1466136,-0.1327
MB03,615.4860855,-0.2551
MB03,617.5831146,-0.5036
MB03,618.7567228,-0.5238
MB03,619.4410914,-0.6562
